,trip_length,trip_start_time,trip_end_time,trip_duration,ev,ev_id,trip_speed,trip_energy_consumption,trip_required_soc,ev_battery_size,trip_estimate_arrival,profile,trip_id,covered_distance,covered_trip_length
0,47.465,2020-01-01 08:17:00.000000,2020-01-01 08:52:42.330680,0 days 00:35:42.330680,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,79.7607958464843,10.442300000000001,0.12285058823529413,85.0,2020-01-01 08:52:42.330680,"N:Residential4, T:Long",ccfd061104e132c210dd4c488170ff54,47.465,
1,47.465,2020-01-01 18:14:00.000000,2020-01-01 18:49:10.990868,0 days 00:35:10.990868,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,80.94492621003984,10.442300000000001,0.12285058823529413,85.0,2020-01-01 18:49:10.990868,"N:Residential4, T:Long",f7f130d78e3e806626eeb5c0c05e56fa,47.465,
2,44.435,2020-01-02 07:59:00.000000,2020-01-02 08:32:12.074028,0 days 00:33:12.074028,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,80.30123265214273,9.7757,0.11500823529411765,85.0,2020-01-02 08:32:12.074028,"N:Residential4, T:Long",7a6111371bc8ef7f9286c8be58457a61,44.435,
3,44.435,2020-01-02 18:37:00.000000,2020-01-02 19:10:01.300945,0 days 00:33:01.300945,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,80.73786085594611,9.7757,0.11500823529411765,85.0,2020-01-02 19:10:01.300945,"N:Residential4, T:Long",c578936eb4c563ea65475d053d1216ef,44.435,
4,45.94,2020-01-03 08:00:00.000000,2020-01-03 08:34:27.302051,0 days 00:34:27.302051,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,79.9999206370188,10.1068,0.1189035294117647,85.0,2020-01-03 08:34:27.302051,"N:Residential4, T:Long",920517bfd1e885c9886a99767848db58,45.94,
5,45.94,2020-01-03 18:16:00.000000,2020-01-03 18:50:43.656018,0 days 00:34:43.656018,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,79.3720261714206,10.1068,0.1189035294117647,85.0,2020-01-03 18:50:43.656018,"N:Residential4, T:Long",1c355e4f26b9ca3681834c4568d21f99,45.94,
6,47.035,2020-01-04 08:07:00.000000,2020-01-04 08:42:07.149073,0 days 00:35:07.149073,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,80.35786465113127,10.3477,0.12173764705882352,85.0,2020-01-04 08:42:07.149073,"N:Residential4, T:Long",9b48e5b7dc52ed3e0d9b080d18183bfc,47.035,
7,47.035,2020-01-04 18:39:00.000000,2020-01-04 19:14:37.063514,0 days 00:35:37.063514,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,79.23302180202654,10.3477,0.12173764705882352,85.0,2020-01-04 19:14:37.063514,"N:Residential4, T:Long",393e0a68b74bc91c6557a4278f684c30,47.035,
8,48.42,2020-01-05 07:45:00.000000,2020-01-05 08:21:36.115198,0 days 00:36:36.115198,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,79.37288542223807,10.6524,0.12532235294117647,85.0,2020-01-05 08:21:36.115198,"N:Residential4, T:Long",94231870d4b4c61c12dd0556f4bfc77b,48.42,
9,48.42,2020-01-05 18:46:00.000000,2020-01-05 19:22:46.388274,0 days 00:36:46.388274,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,79.00332051592777,10.6524,0.12532235294117647,85.0,2020-01-05 19:22:46.388274,"N:Residential4, T:Long",8503bb1b2af826f3880eb2b2dc98c7ce,48.42,
10,45.365,2020-01-06 08:05:00.000000,2020-01-06 08:38:40.895137,0 days 00:33:40.895137,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,80.81270375216546,9.9803,0.11741529411764706,85.0,2020-01-06 08:38:40.895137,"N:Residential4, T:Long",2deea25130ae16209a35d2a7f8c6580b,45.365,
11,45.365,2020-01-06 18:23:00.000000,2020-01-06 18:56:56.980029,0 days 00:33:56.980029,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,80.17457100343825,9.9803,0.11741529411764706,85.0,2020-01-06 18:56:56.980029,"N:Residential4, T:Long",dbefb2cdb0568b4a5c7679766bdf5c3f,45.365,
12,47.72,2020-01-07 07:54:00.000000,2020-01-07 08:29:36.466924,0 days 00:35:36.466924,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,80.40938899839928,10.4984,0.12351058823529412,85.0,2020-01-07 08:29:36.466924,"N:Residential4, T:Long",02c96d8a01805c49b87439091f69a0cd,47.72,
13,47.72,2020-01-07 18:43:00.000000,2020-01-07 19:18:31.482032,0 days 00:35:31.482032,Jaguar I-Pace with 85 kWh battery,84b9f935dffdb0658b7b76113f517004,80.59744225275448,10.4984,0.12351058823529412,85.0,2020-01-07 19:18:31.482032,"N:Residential4, T:Long",a5cb363d8acb6e59c0f696474cace39d,47.72,
