,start_time,end_time,distance,ev_id
0,2019-01-01 08:05:00,2019-01-01 08:10:13.299882,5.185,ceeb844204ff3cf4f2617084dc5e54b4
1,2019-01-01 18:24:00,2019-01-01 18:29:10.890180,5.185,ceeb844204ff3cf4f2617084dc5e54b4
2,2019-01-02 07:55:00,2019-01-02 08:00:21.717384,5.42,ceeb844204ff3cf4f2617084dc5e54b4
3,2019-01-02 18:33:00,2019-01-02 18:38:21.534602,5.42,ceeb844204ff3cf4f2617084dc5e54b4
4,2019-01-03 08:03:00,2019-01-03 08:08:15.605042,5.29,ceeb844204ff3cf4f2617084dc5e54b4
5,2019-01-03 18:34:00,2019-01-03 18:39:13.675546,5.29,ceeb844204ff3cf4f2617084dc5e54b4
6,2019-01-04 08:04:00,2019-01-04 08:09:12.722468,5.23,ceeb844204ff3cf4f2617084dc5e54b4
7,2019-01-04 18:26:00,2019-01-04 18:31:14.188565,5.23,ceeb844204ff3cf4f2617084dc5e54b4
8,2019-01-05 08:02:00,2019-01-05 08:07:18.686804,5.37,ceeb844204ff3cf4f2617084dc5e54b4
9,2019-01-05 18:33:00,2019-01-05 18:38:21.301560,5.37,ceeb844204ff3cf4f2617084dc5e54b4
10,2019-01-06 08:00:00,2019-01-06 08:05:27.883138,5.43,ceeb844204ff3cf4f2617084dc5e54b4
11,2019-01-06 18:32:00,2019-01-06 18:37:21.540880,5.43,ceeb844204ff3cf4f2617084dc5e54b4
12,2019-01-07 07:58:00,2019-01-07 08:03:01.849754,5.005,ceeb844204ff3cf4f2617084dc5e54b4
13,2019-01-07 18:25:00,2019-01-07 18:29:55.428526,5.005,ceeb844204ff3cf4f2617084dc5e54b4
14,2019-01-08 08:04:00,2019-01-08 08:09:09.003855,5.21,ceeb844204ff3cf4f2617084dc5e54b4
15,2019-01-08 18:28:00,2019-01-08 18:33:11.931681,5.21,ceeb844204ff3cf4f2617084dc5e54b4
16,2019-01-09 08:03:00,2019-01-09 08:08:18.206251,5.325,ceeb844204ff3cf4f2617084dc5e54b4
17,2019-01-09 18:32:00,2019-01-09 18:37:17.064115,5.325,ceeb844204ff3cf4f2617084dc5e54b4
18,2019-01-10 08:03:00,2019-01-10 08:08:07.333164,5.1,ceeb844204ff3cf4f2617084dc5e54b4
19,2019-01-10 18:31:00,2019-01-10 18:36:01.959126,5.1,ceeb844204ff3cf4f2617084dc5e54b4
20,2019-01-11 07:59:00,2019-01-11 08:04:11.907796,5.2,ceeb844204ff3cf4f2617084dc5e54b4
21,2019-01-11 18:32:00,2019-01-11 18:37:11.796819,5.2,ceeb844204ff3cf4f2617084dc5e54b4
22,2019-01-12 07:57:00,2019-01-12 08:02:06.736235,5.16,ceeb844204ff3cf4f2617084dc5e54b4
23,2019-01-12 18:33:00,2019-01-12 18:38:06.469496,5.16,ceeb844204ff3cf4f2617084dc5e54b4
24,2019-01-13 07:58:00,2019-01-13 08:03:11.919643,5.25,ceeb844204ff3cf4f2617084dc5e54b4
25,2019-01-13 18:26:00,2019-01-13 18:31:18.635614,5.25,ceeb844204ff3cf4f2617084dc5e54b4
26,2019-01-14 08:00:00,2019-01-14 08:05:11.469564,5.11,ceeb844204ff3cf4f2617084dc5e54b4
27,2019-01-14 18:32:00,2019-01-14 18:37:10.049455,5.11,ceeb844204ff3cf4f2617084dc5e54b4
28,2019-01-15 07:56:00,2019-01-15 08:01:22.049295,5.415,ceeb844204ff3cf4f2617084dc5e54b4
29,2019-01-15 18:30:00,2019-01-15 18:35:24.138623,5.415,ceeb844204ff3cf4f2617084dc5e54b4
30,2019-01-16 08:04:00,2019-01-16 08:09:21.363977,5.305,ceeb844204ff3cf4f2617084dc5e54b4
31,2019-01-16 18:25:00,2019-01-16 18:30:16.933433,5.305,ceeb844204ff3cf4f2617084dc5e54b4
32,2019-01-17 07:55:00,2019-01-17 08:00:21.304003,5.335,ceeb844204ff3cf4f2617084dc5e54b4
33,2019-01-17 18:29:00,2019-01-17 18:34:24.132384,5.335,ceeb844204ff3cf4f2617084dc5e54b4
34,2019-01-18 08:04:00,2019-01-18 08:08:54.885739,4.995,ceeb844204ff3cf4f2617084dc5e54b4
35,2019-01-18 18:29:00,2019-01-18 18:34:04.758884,4.995,ceeb844204ff3cf4f2617084dc5e54b4
36,2019-01-19 08:03:00,2019-01-19 08:07:57.470391,5.03,ceeb844204ff3cf4f2617084dc5e54b4
37,2019-01-19 18:30:00,2019-01-19 18:35:01.534793,5.03,ceeb844204ff3cf4f2617084dc5e54b4
38,2019-01-20 08:04:00,2019-01-20 08:09:23.589594,5.35,ceeb844204ff3cf4f2617084dc5e54b4
39,2019-01-20 18:24:00,2019-01-20 18:29:23.227825,5.35,ceeb844204ff3cf4f2617084dc5e54b4
40,2019-01-21 07:57:00,2019-01-21 08:02:11.912050,5.14,ceeb844204ff3cf4f2617084dc5e54b4
41,2019-01-21 18:26:00,2019-01-21 18:31:05.661183,5.14,ceeb844204ff3cf4f2617084dc5e54b4
42,2019-01-22 07:56:00,2019-01-22 08:01:23.534224,5.465,ceeb844204ff3cf4f2617084dc5e54b4
43,2019-01-22 18:32:00,2019-01-22 18:37:27.451906,5.465,ceeb844204ff3cf4f2617084dc5e54b4
44,2019-01-23 07:57:00,2019-01-23 08:02:02.214987,5.09,ceeb844204ff3cf4f2617084dc5e54b4
45,2019-01-23 18:26:00,2019-01-23 18:31:05.468182,5.09,ceeb844204ff3cf4f2617084dc5e54b4
46,2019-01-24 08:04:00,2019-01-24 08:09:22.377287,5.34,ceeb844204ff3cf4f2617084dc5e54b4
47,2019-01-24 18:33:00,2019-01-24 18:38:25.297582,5.34,ceeb844204ff3cf4f2617084dc5e54b4
48,2019-01-25 07:56:00,2019-01-25 08:01:20.109720,5.265,ceeb844204ff3cf4f2617084dc5e54b4
49,2019-01-25 18:30:00,2019-01-25 18:35:13.214245,5.265,ceeb844204ff3cf4f2617084dc5e54b4
50,2019-01-26 07:59:00,2019-01-26 08:04:19.520349,5.33,ceeb844204ff3cf4f2617084dc5e54b4
51,2019-01-26 18:29:00,2019-01-26 18:34:20.572879,5.33,ceeb844204ff3cf4f2617084dc5e54b4
52,2019-01-27 07:54:00,2019-01-27 07:59:11.377133,5.225,ceeb844204ff3cf4f2617084dc5e54b4
53,2019-01-27 18:34:00,2019-01-27 18:39:12.691883,5.225,ceeb844204ff3cf4f2617084dc5e54b4
54,2019-01-28 07:54:00,2019-01-28 07:59:16.201088,5.19,ceeb844204ff3cf4f2617084dc5e54b4
55,2019-01-28 18:33:00,2019-01-28 18:38:13.894647,5.19,ceeb844204ff3cf4f2617084dc5e54b4
56,2019-01-29 08:01:00,2019-01-29 08:06:09.561145,5.105,ceeb844204ff3cf4f2617084dc5e54b4
57,2019-01-29 18:28:00,2019-01-29 18:33:05.684839,5.105,ceeb844204ff3cf4f2617084dc5e54b4
58,2019-01-30 07:59:00,2019-01-30 08:04:30.118169,5.49,ceeb844204ff3cf4f2617084dc5e54b4
59,2019-01-30 18:31:00,2019-01-30 18:36:29.563901,5.49,ceeb844204ff3cf4f2617084dc5e54b4
60,2019-01-31 07:55:00,2019-01-31 08:00:28.902470,5.44,ceeb844204ff3cf4f2617084dc5e54b4
61,2019-01-31 18:28:00,2019-01-31 18:33:28.964288,5.44,ceeb844204ff3cf4f2617084dc5e54b4
62,2019-02-01 08:00:00,2019-02-01 08:05:29.596809,5.43,ceeb844204ff3cf4f2617084dc5e54b4
63,2019-02-01 18:32:00,2019-02-01 18:37:21.069495,5.43,ceeb844204ff3cf4f2617084dc5e54b4
64,2019-02-02 07:54:00,2019-02-02 07:59:15.424586,5.255,ceeb844204ff3cf4f2617084dc5e54b4
65,2019-02-02 18:25:00,2019-02-02 18:30:12.111508,5.255,ceeb844204ff3cf4f2617084dc5e54b4
66,2019-02-03 07:58:00,2019-02-03 08:03:31.878648,5.49,ceeb844204ff3cf4f2617084dc5e54b4
67,2019-02-03 18:31:00,2019-02-03 18:36:30.646558,5.49,ceeb844204ff3cf4f2617084dc5e54b4
68,2019-02-04 08:01:00,2019-02-04 08:06:17.208212,5.26,ceeb844204ff3cf4f2617084dc5e54b4
69,2019-02-04 18:28:00,2019-02-04 18:33:13.524141,5.26,ceeb844204ff3cf4f2617084dc5e54b4
70,2019-02-05 08:04:00,2019-02-05 08:08:59.720346,5.05,ceeb844204ff3cf4f2617084dc5e54b4
